feature,n_brain_met,n_no_brain_met,mut_brain_met,mut_no_brain_met,prev_brain_met,prev_no_brain_met,prev_ratio,pr_lo,pr_hi,odds_ratio,fisher_p,p_holm,q_bh
pathway_p53,393,841,250,459,0.6361323155216285,0.5457788347205708,1.1655496238642475,1.0578891714882461,1.2841665859751006,1.4549720432073374,0.003003197252509876,0.027028775272588883,0.015015986262549378
pathway_RTK/RAS,393,841,248,448,0.6310432569974554,0.5326991676575505,1.184614685568884,1.073383184716496,1.3073727753953135,1.5003694581280789,0.0013418729701107166,0.013418729701107166,0.013418729701107166
pathway_PI3K,393,841,197,420,0.5012722646310432,0.4994054696789536,1.0037380346540652,0.8905917356719067,1.1312591413742512,1.0074951409135082,1.0,1.0,1.0
pathway_Cell cycle,393,841,150,273,0.3816793893129771,0.32461355529131986,1.175796213964153,1.0027654999599798,1.3786839862635993,1.2843123954235065,0.05348645721202739,0.3747225823672565,0.13371614303006846
pathway_Notch,393,841,90,155,0.22900763358778625,0.18430439952437574,1.2425510957892145,0.986764191305292,1.5646425349147117,1.314595975726605,0.07794115021108522,0.4676469012665113,0.15588230042217044
pathway_Myc,393,841,63,124,0.16030534351145037,0.14744351961950058,1.0872322088155626,0.8228673158044393,1.4365303532931863,1.1038856304985338,0.5520573963284598,1.0,0.7886534233263712
pathway_Wnt,393,841,42,61,0.10687022900763359,0.07253269916765755,1.473407583531473,1.013365982415867,2.142296016324283,1.530054644808743,0.04684032279590706,0.3747225823672565,0.13371614303006846
pathway_Hippo,393,841,26,58,0.06615776081424936,0.06896551724137931,0.9592875318066157,0.613618821478697,1.4996811317848022,0.9564032697547684,0.9039537193267904,1.0,1.0
pathway_TGFB,393,841,14,19,0.035623409669211195,0.022592152199762187,1.5768046069371904,0.798926174186703,3.1120682345767223,1.5981113734203582,0.18936691682547985,0.9468345841273993,0.31561152804246645
pathway_Nrf2,393,841,11,24,0.027989821882951654,0.028537455410225922,0.9808100084817641,0.48533762472722913,1.9821011677770866,0.9802574171029669,1.0,1.0,1.0
